Date,Open,High,Low,Close,Adj Close,Volume,Currency
15-10-18,195.270004,222.117996,194.158997,209.703995,209.703995,2865830000,Ethereum
16-10-18,209.628006,212.173004,207.983994,210.119995,210.119995,1532280000,Ethereum
17-10-18,210.216995,211.125,205.927994,207.082993,207.082993,1444130000,Ethereum
18-10-18,207.404007,208.470001,201.742996,203.352005,203.352005,1365860000,Ethereum
19-10-18,203.257004,204.662994,201.843994,203.727005,203.727005,1264480000,Ethereum
20-10-18,203.514999,206.222,203.085007,205.429993,205.429993,1238780000,Ethereum
21-10-18,205.389999,208.154999,204.621002,205.141998,205.141998,1190300000,Ethereum
22-10-18,205.173996,206.932007,203.376999,204.044006,204.044006,1328980000,Ethereum
23-10-18,204.016006,205.151001,201.910995,204.335999,204.335999,1237490000,Ethereum
24-10-18,204.126999,205.580994,203.354004,203.852005,203.852005,1102220000,Ethereum
25-10-18,203.867996,204.132004,201.822998,202.718994,202.718994,1102900000,Ethereum
26-10-18,202.335999,204.779999,201.550995,203.328995,203.328995,1161310000,Ethereum
27-10-18,203.356003,206.082001,203.126007,204.210007,204.210007,1084810000,Ethereum
28-10-18,204.509995,205.919006,203.522995,205.365997,205.365997,1139140000,Ethereum
29-10-18,205.173996,205.597,195.733994,197.246994,197.246994,1517230000,Ethereum
30-10-18,197.203003,198.121994,196.350998,197.556,197.556,1363500000,Ethereum
31-10-18,197.649002,198.337997,196.531006,197.380997,197.380997,1442380000,Ethereum
01-11-18,197.537003,203.753998,197.328003,198.871994,198.871994,1336700000,Ethereum
02-11-18,198.981995,201.268997,198.755005,200.634995,200.634995,1451870000,Ethereum
03-11-18,200.740005,200.740005,199.524994,200.186005,200.186005,1307150000,Ethereum
04-11-18,200.158005,211.272003,198.985992,207.485992,207.485992,1749300000,Ethereum
05-11-18,207.100006,210.819,206.572998,209.091003,209.091003,1613510000,Ethereum
06-11-18,209.473999,218.451996,207.893997,218.451996,218.451996,1856940000,Ethereum
07-11-18,218.899002,221.651993,216.796005,217.182999,217.182999,1927830000,Ethereum
08-11-18,217.326996,218.337997,212.199005,212.231003,212.231003,1769080000,Ethereum
09-11-18,211.987,213.315994,209.514999,210.074005,210.074005,1554750000,Ethereum
10-11-18,209.975006,213.856995,209.804993,212.533005,212.533005,1377760000,Ethereum
11-11-18,212.479004,212.998993,208.867996,211.339996,211.339996,1501600000,Ethereum
12-11-18,211.513,212.623001,208.923996,210.417999,210.417999,1452380000,Ethereum
13-11-18,210.149002,210.514999,206.134995,206.826004,206.826004,1610260000,Ethereum
14-11-18,206.533997,207.044998,174.084,181.397003,181.397003,2595330000,Ethereum
15-11-18,181.899002,184.251007,170.188995,180.806,180.806,2638410000,Ethereum
16-11-18,180.865005,181.350006,173.126007,175.177002,175.177002,2015330000,Ethereum
17-11-18,175.360001,175.850998,172.869003,174.001007,174.001007,1832800000,Ethereum
18-11-18,174.175003,179.151993,174.175003,177.067001,177.067001,1810920000,Ethereum
19-11-18,177.179001,177.179001,147.850998,149.175003,149.175003,2745160000,Ethereum
20-11-18,148.811005,151.253006,126.360001,130.339005,130.339005,3134410000,Ethereum
21-11-18,131.141998,138.889999,125.758003,136.701004,136.701004,2685930000,Ethereum
22-11-18,136.811005,137.740005,126.706001,126.706001,126.706001,1792150000,Ethereum
23-11-18,126.418999,127.028,119.558998,123.295998,123.295998,1998010000,Ethereum
24-11-18,123.304001,126.788002,110.824997,113.494003,113.494003,1800960000,Ethereum
25-11-18,113.125999,118.880997,101.769997,116.449997,116.449997,2466750000,Ethereum
26-11-18,116.343002,118.200996,104.892998,108.334999,108.334999,2139490000,Ethereum
27-11-18,107.913002,111.842003,102.452003,110.010002,110.010002,2320010000,Ethereum
28-11-18,110.197998,126.047997,110.197998,122.438004,122.438004,2673470000,Ethereum
